Column,Peak Index,Left,Right,Mean,Width,Choice,PTM
N_15581,33,25,46,2066.9545454545455,21,False,False
N_15581,121,116,127,1899.4166666666667,10,False,False
N_15581,0,222,237,2121.542,16,False,True
N_15581,1,221,238,2166.35,18,False,True
N_15581,2,227,241,2285.8379999999997,15,False,True
N_15581,3,219,240,2211.158,22,False,True
N_15581,4,223,236,2099.138,14,False,True
N_15581,5,232,244,2480.006,13,False,True
N_15748,46,41,53,2016.0,12,False,False
N_15748,143,141,152,1821.0833333333333,11,False,False
N_15748,0,269,290,2087.861,22,False,True
N_15748,1,286,310,2566.4449999999997,25,False,True
N_15748,2,270,291,2144.165,22,False,True
N_15748,3,298,308,2524.2169999999996,11,False,True
N_15748,4,282,295,2313.077,14,False,True
N_15748,5,276,292,2207.5069999999996,17,False,True
N_16029,101,95,107,1848.1538461538462,11,False,False
N_16029,127,115,143,2259.862068965517,28,False,False
N_16029,180,172,197,2188.6153846153848,25,False,False
N_16029,0,206,218,2313.8225,13,False,True
N_16029,1,212,222,2359.8125,11,False,True
N_16029,2,206,218,2298.4925,13,False,True
N_16029,3,208,228,2536.1075,21,False,True
N_16029,4,223,238,3133.9775,16,False,True
N_16029,5,219,233,2835.0425,15,False,True
N_17602,0,33,45,3065.9875,13,False,True
N_17602,1,13,24,2292.2775,12,False,True
N_18101,0,47,58,1814.1390000000001,12,False,True
N_18101,1,48,60,1851.269,13,False,True
N_18101,2,87,99,4673.148999999999,13,False,True
N_18101,3,81,92,3514.693,12,False,True
N_18101,4,64,75,2393.367,12,False,True
N_18101,5,57,68,2051.7709999999997,12,False,True
N_20444,32,23,36,1860.2142857142858,13,False,False
N_20444,110,98,124,2086.037037037037,25,False,False
N_20444,0,147,158,2185.8105,12,False,True
N_20444,1,147,159,2270.0865,13,False,True
N_20444,2,147,158,2241.9945,12,False,True
N_20444,3,146,157,2115.5805,12,False,True
N_22354,53,46,57,1945.4166666666667,11,False,False
N_22354,103,99,110,1824.8333333333333,11,False,False
N_22354,134,129,140,1935.25,11,False,False
N_22354,153,146,159,1846.7142857142858,12,False,False
N_22354,172,164,178,1850.6666666666667,13,False,False
N_22354,193,182,207,1990.8461538461538,25,False,False
N_22354,266,258,278,2061.4285714285716,20,False,False
N_22354,0,326,339,2101.9675,14,False,True
N_22354,1,327,340,2137.3925,14,False,True
N_22354,2,327,341,2186.9875,15,False,True
N_24636,42,31,42,1915.5833333333333,11,False,False
N_24636,0,125,138,1976.155,14,False,True
N_24636,1,124,137,1945.1390000000001,14,False,True
N_24636,2,127,141,2038.187,15,False,True
N_24636,3,146,158,2953.159,13,False,True
N_24636,4,131,150,2216.529,20,False,True
N_24636,5,129,149,2146.743,21,False,True
N_26220,0,20,38,3265.3625,19,False,True
N_26220,1,16,34,3107.3375,19,False,True
N_31883,0,107,117,1909.547,11,False,True
N_31883,1,91,101,1834.687,11,False,True
N_31883,2,107,117,1924.519,11,False,True
N_31883,3,105,115,1864.6309999999999,11,False,True
N_31883,4,107,119,1969.435,13,False,True
N_31883,5,107,118,1954.463,12,False,True
N_32152,0,13,24,2022.7869999999998,12,False,True
N_32152,1,17,27,2139.517,11,False,True
N_4723,47,37,54,2083.5555555555557,17,False,False
N_4723,155,142,164,2103.9565217391305,21,False,False
N_4723,184,174,184,1961.3636363636363,10,False,False
N_4723,0,304,317,2144.3955,14,False,True
N_4723,1,307,335,2374.7685,29,False,True
N_4723,2,319,332,2214.2055,14,False,True
N_4723,3,324,338,2605.1414999999997,15,False,True
N_4723,4,308,337,2500.4265,30,False,True
N_4723,5,315,334,2304.9584999999997,20,False,True
N_5520,35,10,40,2101.5806451612902,30,False,False
N_5520,101,91,106,2063.25,15,False,False
N_5520,215,203,220,1917.7222222222222,17,False,False
N_5520,0,240,256,2163.132,17,False,True
N_5520,1,239,255,2134.364,17,False,True
N_5520,2,241,257,2213.476,17,False,True
N_5520,3,241,257,2235.052,17,False,True
N_5520,4,240,256,2199.092,17,False,True
N_5520,5,240,256,2184.708,17,False,True
N_649,100,92,102,1838.090909090909,10,False,False
N_649,140,133,144,1955.1666666666667,10,False,False
N_649,0,192,203,1988.8964999999998,12,False,True
N_649,1,203,220,2869.3775,18,False,True
N_649,2,194,204,2159.0735,11,False,True
N_649,3,193,204,2085.0834999999997,12,False,True
N_6492,17,9,20,2093.1666666666665,10,False,False
N_6492,30,25,39,2112.266666666667,13,False,False
N_6492,0,77,90,2333.7304999999997,14,False,True
N_6492,1,76,89,2268.2195,14,False,True
N_6492,2,73,87,2159.0344999999998,15,False,True
N_6492,3,76,90,2290.0564999999997,15,False,True
N_6492,4,75,89,2224.5455,15,False,True
N_6492,5,74,88,2209.9875,15,False,True
N_6504,0,14,25,2149.3755,12,False,True
N_6504,1,9,20,1862.1335,12,False,True
N_739,0,25,37,2871.459,13,False,True
N_739,1,16,26,1980.087,11,False,True
N_945,0,9,21,2006.3345,13,False,True
